Departamento,Producto,Año,Area (hec),Produccion (ton),Rendimiento (hec/ton)
Amazonas,AGUACATE,2008,27,169,6.26
Amazonas,AGUACATE,2014,24,139,5.79
Amazonas,AGUACATE,2015,27,157,5.81
Amazonas,AGUACATE,2016,35,208,5.94
Amazonas,AGUAJE,2008,41,1251,30.51
Amazonas,AGUAJE,2009,51,1531,30.02
Amazonas,AGUAJE,2010,53,312.7,5.9
Amazonas,AGUAJE,2011,53,312.7,5.9
Amazonas,AGUAJE,2012,30,177,5.9
Amazonas,AGUAJE,2013,22,129.8,5.9
Amazonas,AGUAJE,2014,24,141.6,5.9
Amazonas,AGUAJE,2015,28,165.2,5.9
Amazonas,AGUAJE,2016,34,202.5,5.96
Amazonas,AHUYAMA,2008,22,83,3.77
Amazonas,ARAZA,2008,108,339,3.14
Amazonas,ARAZA,2009,56,280,5
Amazonas,ARAZA,2010,58,290,5
Amazonas,ARAZA,2011,58,290,5
Amazonas,ARAZA,2012,32,160,5
Amazonas,ARAZA,2013,21,105,5
Amazonas,ARAZA,2014,27,135,5
Amazonas,ARAZA,2015,30,150,5
Amazonas,ARAZA,2016,45,305,6.78
Amazonas,ARROZ SECANO MANUAL,1991,300,800,2.67
Amazonas,ARROZ SECANO MANUAL,1992,500,940,1.88
Amazonas,ARROZ SECANO MANUAL,1994,211,214,1.01
Amazonas,ARROZ SECANO MANUAL,1995,35,93.8,2.68
Amazonas,ARROZ SECANO MANUAL,1996,10,30,3
Amazonas,ARROZ SECANO MANUAL,1997,19.3,57.8,2.99
Amazonas,ARROZ SECANO MANUAL,1998,49,146,2.98
Amazonas,ARROZ SECANO MANUAL,1999,48.7,146.1,3
Amazonas,ARROZ SECANO MANUAL,2000,73.4,119.2,1.62
Amazonas,ARROZ SECANO MANUAL,2001,73.4,119.2,1.62
Amazonas,ARROZ SECANO MANUAL,2002,66,101,1.53
Amazonas,ARROZ SECANO MANUAL,2003,127,1228,9.67
Amazonas,ARROZ SECANO MANUAL,2004,80,142,1.78
Amazonas,ARROZ SECANO MANUAL,2005,44,78,1.77
Amazonas,ARROZ SECANO MANUAL,2006,14,22,1.57
Amazonas,ARROZ SECANO MANUAL,2008,72,37,0.51
Amazonas,ARROZ SECANO MANUAL,2010,147,73.5,0.5
Amazonas,ARROZ SECANO MANUAL,2011,68,34,0.5
Amazonas,ARROZ SECANO MANUAL,2016,40,120,3
Amazonas,ARROZ SECANO MANUAL,2017,64,192,3
Amazonas,ARROZ SECANO MECANIZADO,1991,700,2200,3.14
Amazonas,ASAI,2008,62,1575,25.4
Amazonas,ASAI,2009,44,152,3.45
Amazonas,ASAI,2010,45,153,3.4
Amazonas,ASAI,2011,47,256.5,5.46
Amazonas,ASAI,2012,29,158.5,5.47
Amazonas,ASAI,2013,20,108,5.4
Amazonas,ASAI,2014,23,124.2,5.4
Amazonas,ASAI,2015,26,140.4,5.4
Amazonas,ASAI,2016,34,193.8,5.7
Amazonas,BACURI,2008,2,8,4
Amazonas,BANANO,2008,129,453.8,3.52
Amazonas,BATATA,2016,60,60,1
Amazonas,BOROJO,2008,6,18,3
Amazonas,CACAO,1989,300,90,0.3
Amazonas,CACAO,1990,300,90,0.3
Amazonas,CACAO,1991,44,22,0.5
Amazonas,CACAO,2008,4,7.75,1.94
Amazonas,CACAO,2011,2,1,0.5
Amazonas,CACAO,2012,4,2.09,0.52
Amazonas,CACAO,2013,16,8,0.5
Amazonas,CACAO,2014,29,13.63,0.47
Amazonas,CACAO,2015,35,17.5,0.5
Amazonas,CACAO,2016,35,16.9,0.48
Amazonas,CAIMO,2010,23,50.6,2.2
Amazonas,CANYARANA,2008,2,25,12.5
Amazonas,CAÑA PANELERA,1991,26,120,4.62
Amazonas,CAÑA PANELERA,2008,91,330,3.63
Amazonas,CAÑA PANELERA,2009,0,0,0
Amazonas,CAÑA PANELERA,2010,16,25,1.56
Amazonas,CAÑA PANELERA,2011,11,16,1.45
Amazonas,CAÑA PANELERA,2012,1,2,2
Amazonas,CAÑA PANELERA,2013,2,4,2
Amazonas,CAÑA PANELERA,2014,3,6,2
Amazonas,CAÑA PANELERA,2015,8,18.32,2.29
Amazonas,CAÑA PANELERA,2016,14,70,5
Amazonas,CEBOLLA DE RAMA,2008,92,94,1.02
Amazonas,CHONTADURO,2008,18,337,18.72
Amazonas,CHONTADURO,2009,11,60.5,5.5
Amazonas,CHONTADURO,2011,12,27.6,2.3
Amazonas,CHONTADURO,2012,8,18.4,2.3
Amazonas,CHONTADURO,2014,23,135.3,5.88
Amazonas,CHONTADURO,2015,30,177.3,5.91
Amazonas,CHONTADURO,2016,38,228,6
Amazonas,CILANTRO,2008,70,72,1.03
Amazonas,CILANTRO,2011,44,23.4,0.53
Amazonas,CILANTRO,2013,5,15,3
Amazonas,CILANTRO,2014,9,12,1.33
Amazonas,CILANTRO,2015,21,10.5,0.5
Amazonas,CILANTRO,2016,9.3,5.7,0.61
Amazonas,CILANTRO,2017,7.7,4.66,0.61
Amazonas,CITRICOS,2014,21,55,2.62
Amazonas,CITRICOS,2015,26,69,2.65
Amazonas,CITRICOS,2016,26,69,2.65
Amazonas,COCO,2008,21,137,6.52
Amazonas,COPOAZU,2008,91,575,6.32
Amazonas,COPOAZU,2009,87,360,4.14
Amazonas,COPOAZU,2010,92,368.4,4
Amazonas,COPOAZU,2011,93,369.6,3.97
Amazonas,COPOAZU,2012,44,179.3,4.08
Amazonas,COPOAZU,2013,45,247.5,5.5
Amazonas,COPOAZU,2014,52,286,5.5
Amazonas,COPOAZU,2015,55,302.5,5.5
Amazonas,COPOAZU,2016,45,260,5.78
Amazonas,FRIJOL,1991,1,1,1
Amazonas,FRIJOL,1992,1,1,1
Amazonas,FRIJOL,1994,9,5,0.56
Amazonas,FRIJOL,1995,1,0.5,0.5
Amazonas,FRIJOL,1997,1.6,0.8,0.5
Amazonas,FRIJOL,1998,5,2,0.4
Amazonas,FRIJOL,1999,8,4,0.5
Amazonas,FRIJOL,2008,36,28,0.78
Amazonas,FRUTALES VARIOS,2008,64,240,3.75
Amazonas,FRUTALES VARIOS,2016,69,440,6.38
Amazonas,GUAMA,2008,40,123,3.08
Amazonas,GUAMA,2009,47,106,2.26
Amazonas,GUAMA,2010,25,57.5,2.3
Amazonas,GUAMA,2011,46,167.8,3.65
Amazonas,GUAMA,2012,33,97.6,2.96
Amazonas,GUAMA,2013,10,23,2.3
Amazonas,GUAMA,2014,22,71,3.23
Amazonas,GUAMA,2015,28,95,3.39
Amazonas,GUANABANA,2008,7,44,6.29
Amazonas,GUAYABA,2008,32,160,5
Amazonas,HABICHUELA,2008,6,2,0.33
Amazonas,HORTALIZAS VARIAS,2014,36,25.2,0.7
Amazonas,HORTALIZAS VARIAS,2015,25,17.5,0.7
Amazonas,LIMON,2008,13,61,4.69
Amazonas,MACADAMIA,2008,2,9,4.5
Amazonas,MAIZ TRADICIONAL,1991,300,400,1.33
Amazonas,MAIZ TRADICIONAL,1992,100,100,1
Amazonas,MAIZ TRADICIONAL,1993,255,64,0.25
Amazonas,MAIZ TRADICIONAL,1994,218,164,0.75
Amazonas,MAIZ TRADICIONAL,1995,91.5,73.2,0.8
Amazonas,MAIZ TRADICIONAL,1996,14.8,13.4,0.91
Amazonas,MAIZ TRADICIONAL,1997,126,113,0.9
Amazonas,MAIZ TRADICIONAL,1998,120,108,0.9
Amazonas,MAIZ TRADICIONAL,1999,130.3,117.2,0.9
Amazonas,MAIZ TRADICIONAL,2000,224.1,214.4,0.96
Amazonas,MAIZ TRADICIONAL,2001,224.1,214.4,0.96
Amazonas,MAIZ TRADICIONAL,2002,371,639,1.72
Amazonas,MAIZ TRADICIONAL,2003,427,732,1.71
Amazonas,MAIZ TRADICIONAL,2004,287,451,1.57
Amazonas,MAIZ TRADICIONAL,2005,183,270,1.48
Amazonas,MAIZ TRADICIONAL,2006,131,169,1.29
Amazonas,MAIZ TRADICIONAL,2007,454,1111,2.45
Amazonas,MAIZ TRADICIONAL,2008,745,1863,2.5
Amazonas,MAIZ TRADICIONAL,2010,679,1018.5,1.5
Amazonas,MAIZ TRADICIONAL,2011,520,780,1.5
Amazonas,MAIZ TRADICIONAL,2013,170,255,1.5
Amazonas,MAIZ TRADICIONAL,2014,167,250.5,1.5
Amazonas,MAIZ TRADICIONAL,2015,120,155.64,1.3
Amazonas,MAIZ TRADICIONAL,2016,54,93.5,1.73
Amazonas,MAIZ TRADICIONAL,2017,60,108,1.8
Amazonas,MANDARINA,2008,5,38,7.6
Amazonas,MANGO,2008,62,1876,30.26
Amazonas,MANI,2008,13,10,0.77
Amazonas,NARANJA,2008,10,76,7.6
Amazonas,ÑAME,2007,3,5,1.67
Amazonas,ÑAME,2008,4,6,1.5
Amazonas,ÑAME,2016,301,1405,4.67
Amazonas,PAPA CHINA,2008,1,3.8,3.8
Amazonas,PAPAYA,2008,2,6,3
Amazonas,PATILLA,2008,37,138.5,3.74
Amazonas,PATILLA,2017,2.7,2.16,0.8
Amazonas,PEPA DE PAN,2008,1,1,1
Amazonas,PEPINO COHOMBRO,2008,58,146,2.52
Amazonas,PEPINO COHOMBRO,2016,1.5,2.05,1.37
Amazonas,PEPINO COHOMBRO,2017,7.7,6.7,0.87
Amazonas,PIÃA,2008,260,865,3.33
Amazonas,PIÃA,2009,0,0,0
Amazonas,PIÃA,2010,50,50,1
Amazonas,PIÃA,2011,46,46,1
Amazonas,PIÃA,2012,10,10,1
Amazonas,PIÃA,2013,20,20,1
Amazonas,PIÃA,2014,28,28,1
Amazonas,PIÃA,2015,35,35,1
Amazonas,PIMENTON,2008,112,277,2.47
Amazonas,PIMENTON,2010,25,17.9,0.72
Amazonas,PIMENTON,2011,27,18.9,0.7
Amazonas,PIMENTON,2017,7,5.17,0.74
Amazonas,PLANTAS AROMATICAS,2014,38,38,1
Amazonas,PLANTAS AROMATICAS,2015,40,38.8,0.97
Amazonas,PLANTAS AROMATICAS,2016,40,38.8,0.97
Amazonas,PLATANO,1987,25,100,4
Amazonas,PLATANO,1988,50,200,4
Amazonas,PLATANO,1989,100,400,4
Amazonas,PLATANO,1990,297,2142,7.21
Amazonas,PLATANO,1991,126,287,2.28
Amazonas,PLATANO,1993,287,258,0.9
Amazonas,PLATANO,1994,32.8,49,1.49
Amazonas,PLATANO,1995,146,219,1.5
Amazonas,PLATANO,1996,132,198,1.5
Amazonas,PLATANO,1997,228,342,1.5
Amazonas,PLATANO,1998,202.3,303.4,1.5
Amazonas,PLATANO,1999,443,664.5,1.5
Amazonas,PLATANO,2000,537,3371,6.28
Amazonas,PLATANO,2001,856.5,3371,3.94
Amazonas,PLATANO,2002,845,3161,3.74
Amazonas,PLATANO,2003,927,3650,3.94
Amazonas,PLATANO,2004,1084,4408,4.07
Amazonas,PLATANO,2005,1047,4616.6,4.41
Amazonas,PLATANO,2006,644,1980,3.07
Amazonas,PLATANO,2007,895,2956,3.3
Amazonas,PLATANO,2008,1203,4017,3.34
Amazonas,PLATANO,2009,0,0,0
Amazonas,PLATANO,2010,190,670,3.53
Amazonas,PLATANO,2011,190,670,3.53
Amazonas,PLATANO,2012,70,240,3.43
Amazonas,PLATANO,2013,128,464,3.63
Amazonas,PLATANO,2014,80,280,3.5
Amazonas,PLATANO,2015,270,1350,5
Amazonas,PLATANO,2016,343,1715,5
Amazonas,POMARROSA,2008,6,46,7.67
Amazonas,SACHA INCHI,2007,2,1.2,1.2
Amazonas,SACHA INCHI,2008,2,1.2,1.2
Amazonas,SACHA INCHI,2009,2,1.2,1.2
Amazonas,SACHA INCHI,2014,4,8,4
Amazonas,SACHA INCHI,2015,40,20,1
Amazonas,SACHA INCHI,2016,60,60,2
Amazonas,TANGARANA,2008,1,12.5,12.5
Amazonas,TOMATE,2008,99,249,2.52
Amazonas,TOMATE,2016,4.3,3.65,0.85
Amazonas,TOMATE,2017,4.3,4.3,1
Amazonas,UMARI,2008,16,60,3.75
Amazonas,UVA CAIMARONA,2008,152,1141,7.51
Amazonas,UVA CAIMARONA,2009,69,222,3.22
Amazonas,UVA CAIMARONA,2010,68,226.8,3.34
Amazonas,UVA CAIMARONA,2011,69,124.2,1.8
Amazonas,UVA CAIMARONA,2012,35,63,1.8
Amazonas,YUCA,1990,300,3900,13
Amazonas,YUCA,1991,256,768,3
Amazonas,YUCA,1993,477,1431,3
Amazonas,YUCA,1994,197,790,4.01
Amazonas,YUCA,1995,623,1869,3
Amazonas,YUCA,1996,760,2280,3
Amazonas,YUCA,1997,452,1356,3
Amazonas,YUCA,1998,468.5,1405,3
Amazonas,YUCA,1999,662.1,1464.8,2.21
Amazonas,YUCA,2000,615.9,1537,2.5
Amazonas,YUCA,2001,1036,4103,3.96
Amazonas,YUCA,2002,1260,4873,3.87
Amazonas,YUCA,2003,1587,5930,3.74
Amazonas,YUCA,2004,1428,5153,3.61
Amazonas,YUCA,2005,1506,4752,3.16
Amazonas,YUCA,2006,874,2681,3.07
Amazonas,YUCA,2007,1526,4431,2.9
Amazonas,YUCA,2008,2179,8141,3.74
Amazonas,YUCA,2009,457,1486,3.25
Amazonas,YUCA,2010,540,1080,2
Amazonas,YUCA,2011,745,1490,2
Amazonas,YUCA,2012,205,410,2
Amazonas,YUCA,2013,265,1007,3.8
Amazonas,YUCA,2014,235,470,2
Amazonas,YUCA,2015,375,750,2
Amazonas,YUCA,2016,1133,7314.5,6.46
Amazonas,ZAPOTE,2008,1,18.75,18.75
